Title,Year,PreNomination,PostNomination,PostAwards,Total,Win
American Sniper,2014,"$3,400,000","$316,600,000","$30,100,000","$350,100,000",0
Zero Dark Thirty,2012,"$5,200,000","$86,300,000","$4,200,000","$95,700,000",0
The Dresser,1983,"$563,000","$4,700,000",$0,"$5,300,000",0
Letters from Iwo Jima,2006,"$2,600,000","$10,200,000","$921,000","$13,800,000",0
Dangerous Liaisons,1988,"$6,700,000","$25,000,000","$3,000,000","$34,700,000",0
Amour,2012,"$371,000","$4,800,000","$1,600,000","$6,700,000",0
There Will Be Blood,2007,"$8,700,000","$26,400,000","$5,100,000","$40,200,000",0
Selma,2014,"$16,500,000","$33,000,000","$2,500,000","$52,100,000",0
Extremely Loud & Incredibly Close,2011,"$11,400,000","$19,800,000","$633,000","$31,800,000",0
In the Name of the Father,1993,"$6,500,000","$14,400,000","$4,200,000","$25,100,000",0
Million Dollar Baby,2004,"$8,500,000","$56,400,000","$35,600,000","$100,500,000",1
Her (2013),2013,"$10,400,000","$14,100,000","$974,000","$25,600,000",0
Howards End,1992,"$8,700,000","$14,200,000","$3,000,000","$26,000,000",0
Silver Linings Playbook,2012,"$35,700,000","$71,400,000","$24,900,000","$132,100,000",0
The Crying Game,1992,"$14,000,000","$33,600,000","$14,900,000","$62,500,000",0
Gandhi,1982,"$11,900,000","$27,000,000","$13,900,000","$52,800,000",1
The Cider House Rules,1999,"$20,700,000","$28,900,000","$7,900,000","$57,500,000",0
Nebraska,2013,"$8,600,000","$8,500,000","$536,000","$17,700,000",0
Chocolat,2000,"$27,100,000","$33,600,000","$10,900,000","$71,500,000",0
Platoon,1986,"$39,300,000","$64,800,000","$34,500,000","$138,500,000",1
The Killing Fields,1984,"$11,700,000","$16,200,000","$6,900,000","$34,700,000",0
My Left Foot,1989,"$2,100,000","$6,800,000","$5,900,000","$14,700,000",0
Shine,1996,"$16,100,000","$16,400,000","$3,400,000","$35,900,000",0
Frost---Nixon,2008,"$8,900,000","$8,500,000","$1,200,000","$18,600,000",0
The Imitation Game,2014,"$42,800,000","$41,100,000","$7,200,000","$91,100,000",0
Hope and Glory,1987,"$5,200,000","$4,500,000","$314,000","$10,000,000",0
Mississippi Burning,1988,"$18,600,000","$15,300,000","$713,000","$34,600,000",0
Secrets & Lies,1996,"$5,900,000","$5,900,000","$1,600,000","$13,400,000",0
The Reader,2008,"$8,100,000","$14,900,000","$11,200,000","$34,200,000",0
The Artist,2011,"$12,400,000","$19,400,000","$12,900,000","$44,700,000",1
