Title,PreNomination,PostNomination,PostAwards,Total,Released,Year,Win,imdbVotes,imdbRating,Rated,Runtime,Metascore,,,,,,,,Writer,Actors,Language,imdbID,Country,Awards,Genre
JFK,58100000,10300000,2000000,70400000,20 Dec 1991,1991,0,108216,8,R,189,72,,,,,,,,"Oliver Stone (screenplay), Zachary Sklar (screenplay), Jim Garrison (book), Jim Marrs (book)","Sally Kirkland, Anthony Ramirez, Ray LePere, Steve Reed","English, Spanish",tt0102138,"France, USA",Won 2 Oscars. Another 13 wins & 23 nominations.,"Drama, History, Thriller"
Up,293000000,0,0,293000000,29 May 2009,2009,0,592975,8.3,PG,96,88,,,,,,,,"Pete Docter (story), Bob Peterson (story), Tom McCarthy (story), Bob Peterson (screenplay), Pete Docter (screenplay)","Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson",English,tt1049413,USA,Won 2 Oscars. Another 69 wins & 69 nominations.,"Animation, Adventure, Comedy"
The Godfather: Part III,62500000,3200000,956000,66700000,25 Dec 1990,1990,0,244113,7.6,R,162,60,,,,,,,,"Mario Puzo, Francis Ford Coppola","Al Pacino, Diane Keaton, Talia Shire, Andy Garcia","English, Italian, German, Latin",tt0099674,USA,Nominated for 7 Oscars. Another 4 wins & 12 nominations.,"Crime, Drama"
Platoon,39300000,64800000,34500000,138500000,06 Feb 1987,1986,1,270412,8.1,R,120,N/A,,,,,,,,Oliver Stone,"Tom Berenger, Keith David, Willem Dafoe, Forest Whitaker","English, Vietnamese",tt0091763,"UK, USA",Won 4 Oscars. Another 19 wins & 14 nominations.,"Drama, War"
Chocolat,27100000,33600000,10900000,71500000,19 Jan 2001,2000,0,141795,7.3,PG-13,121,64,,,,,,,,"Joanne Harris (novel), Robert Nelson Jacobs (screenplay)","Alfred Molina, Carrie-Anne Moss, Aurelien Parent Koenig, Antonio Gil","English, French",tt0241303,"UK, USA",Nominated for 5 Oscars. Another 7 wins & 32 nominations.,"Drama, Romance"
Life of Pi,91800000,21700000,11500000,125000000,21 Nov 2012,2012,0,399787,8,PG,127,79,,,,,,,,"Yann Martel (novel), David Magee (screenplay)","Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur","English, Tamil, French, Japanese, Hindi, Chinese",tt0454876,"USA, Taiwan, UK",Won 4 Oscars. Another 72 wins & 119 nominations.,"Adventure, Drama, Fantasy"
District 9,115600000,0,0,115600000,14 Aug 2009,2009,0,501824,8,R,112,81,,,,,,,,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike","English, Nyanja, Afrikaans, Zulu, Xhosa, Southern Sotho",tt1136608,"USA, New Zealand, Canada, South Africa",Nominated for 4 Oscars. Another 23 wins & 97 nominations.,"Action, Sci-Fi"
"Good Night, and Good Luck.",25200000,6000000,384000,31600000,04 Nov 2005,2005,0,81616,7.5,PG,93,80,,,,,,,,"George Clooney, Grant Heslov","Jeff Daniels, David Strathairn, Alex Borstein, Rose Abdoo",English,tt0433383,"USA, France, UK, Japan",Nominated for 6 Oscars. Another 37 wins & 101 nominations.,Drama
The Verdict,39700000,12200000,2100000,54000000,17 Dec 1982,1982,0,24381,7.8,R,129,N/A,,,,,,,,"Barry Reed (based upon the novel by), David Mamet (screenplay)","Paul Newman, Charlotte Rampling, Jack Warden, James Mason",English,tt0084855,USA,Nominated for 5 Oscars. Another 3 wins & 9 nominations.,Drama
Driving Miss Daisy,33600000,41600000,31400000,106600000,26 Jan 1990,1989,1,66984,7.4,PG,99,81,,,,,,,,"Alfred Uhry (screenplay), Alfred Uhry (play)","Morgan Freeman, Jessica Tandy, Dan Aykroyd, Patti LuPone","English, Hebrew",tt0097239,USA,Won 4 Oscars. Another 17 wins & 21 nominations.,Drama
Michael Clayton,39400000,9100000,516000,49000000,12 Oct 2007,2007,0,126908,7.3,R,119,82,,,,,,,,Tony Gilroy,"Tom Wilkinson, Michael O'Keefe, Sydney Pollack, Danielle Skraastad",English,tt0465538,USA,Won 1 Oscar. Another 24 wins & 99 nominations.,"Crime, Drama, Mystery"
The Right Stuff,15700000,5500000,0,21200000,21 Oct 1983,1983,0,42917,7.9,PG,193,N/A,,,,,,,,"Tom Wolfe (book), Philip Kaufman (screenplay)","Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid","English, Russian",tt0086197,USA,Won 4 Oscars. Another 7 wins & 15 nominations.,"Adventure, Drama, History"
Sideways,32400000,30700000,8300000,71500000,21 Jan 2005,2004,0,142434,7.6,R,126,94,,,,,,,,"Rex Pickett (novel), Alexander Payne (screenplay), Jim Taylor (screenplay)","Paul Giamatti, Thomas Haden Church, Virginia Madsen, Sandra Oh","English, Armenian",tt0375063,"USA, Hungary",Won 1 Oscar. Another 117 wins & 68 nominations.,"Comedy, Drama, Romance"
In the Bedroom,19500000,14700000,1700000,35900000,08 Feb 2002,2001,0,31274,7.5,R,130,86,,,,,,,,"Robert Festinger (screenplay), Todd Field (screenplay), Andre Dubus (story)","Tom Wilkinson, Sissy Spacek, Nick Stahl, Marisa Tomei","English, Serbo-Croatian",tt0247425,USA,Nominated for 5 Oscars. Another 35 wins & 67 nominations.,"Crime, Drama"
Tender Mercies,8400000,0,0,8400000,10 Jun 1983,1983,0,6912,7.5,PG,92,N/A,,,,,,,,Horton Foote,"Robert Duvall, Tess Harper, Betty Buckley, Wilford Brimley",English,tt0086423,USA,Won 2 Oscars. Another 7 wins & 13 nominations.,"Drama, Music"
The Remains of the Day,19500000,2400000,1300000,23200000,19 Nov 1993,1993,0,43008,7.9,PG,134,84,,,,,,,,"Kazuo Ishiguro (novel), Ruth Prawer Jhabvala (screenplay)","John Haycraft, Christopher Reeve, Anthony Hopkins, Emma Thompson","English, French, German",tt0107943,"UK, USA",Nominated for 8 Oscars. Another 15 wins & 23 nominations.,"Drama, Romance"
Dead Poets Society,95900000,0,0,95900000,09 Jun 1989,1989,0,257989,8,PG,128,79,,,,,,,,Tom Schulman,"Robin Williams, Robert Sean Leonard, Ethan Hawke, Josh Charles",English,tt0097165,USA,Won 1 Oscar. Another 17 wins & 18 nominations.,Drama
Unforgiven,75300000,7600000,18300000,101200000,07 Aug 1992,1992,1,256500,8.3,R,131,82,,,,,,,,David Webb Peoples,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris",English,tt0105695,USA,Won 4 Oscars. Another 36 wins & 27 nominations.,Western
American Sniper,3400000,316600000,30100000,350100000,16 Jan 2015,2014,0,269141,7.3,R,133,72,,,,,,,,"Jason Hall, Chris Kyle (book), Scott McEwen (book), Jim DeFelice (book)","Bradley Cooper, Kyle Gallner, Cole Konis, Ben Reed",English,tt2179136,USA,Won 1 Oscar. Another 13 wins & 33 nominations.,"Action, Biography, Drama"
Argo,110300000,19300000,6400000,136000000,12 Oct 2012,2012,1,415780,7.8,R,120,86,,,,,,,,"Chris Terrio (screenplay), Tony Mendez (based on a selection from ""The Master of Disguise"" by), Joshuah Bearman (based on the Wired Magazine article ""The Great Escape"" by)","Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman","English, Persian",tt1024648,USA,Won 3 Oscars. Another 83 wins & 144 nominations.,"Drama, History, Thriller"
War Horse,72600000,6500000,843000,79900000,25 Dec 2011,2011,0,109157,7.2,PG-13,146,72,,,,,,,,"Lee Hall (screenplay), Richard Curtis (screenplay), Michael Morpurgo (novel), Nick Stafford (stage play)","Jeremy Irvine, Peter Mullan, Emily Watson, Niels Arestrup","English, German",tt1568911,"USA, UK",Nominated for 6 Oscars. Another 16 wins & 67 nominations.,"Drama, War"
American Hustle,104600000,42100000,3400000,150100000,20 Dec 2013,2013,0,328990,7.3,R,138,90,,,,,,,,"Eric Warren Singer, David O. Russell","Christian Bale, Bradley Cooper, Amy Adams, Jeremy Renner","English, Arabic",tt1800241,USA,Nominated for 10 Oscars. Another 59 wins & 187 nominations.,"Crime, Drama"
The Grand Budapest Hotel,59100000,0,0,59100000,28 Mar 2014,2014,0,402293,8.1,R,99,88,,,,,,,,"Stefan Zweig (inspired by the writings of), Wes Anderson (screenplay), Wes Anderson (story), Hugo Guinness (story)","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody","English, French",tt2278388,"USA, Germany, UK",Won 4 Oscars. Another 114 wins & 198 nominations.,"Adventure, Comedy, Drama"
Dances with Wolves,104300000,32700000,47100000,184200000,21 Nov 1990,1990,1,174661,8,PG-13,181,72,,,,,,,,"Michael Blake (screenplay), Michael Blake (novel)","Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant","English, Sioux, Pawnee",tt0099348,"USA, UK",Won 7 Oscars. Another 37 wins & 31 nominations.,"Adventure, Drama, Western"
Field of Dreams,64400000,0,0,64400000,05 May 1989,1989,0,81610,7.6,PG,107,57,,,,,,,,"W.P. Kinsella (book), Phil Alden Robinson (screenplay)","Kevin Costner, Amy Madigan, Gaby Hoffmann, Ray Liotta",English,tt0097351,USA,Nominated for 3 Oscars. Another 6 wins & 9 nominations.,"Drama, Family, Fantasy"
The Accidental Tourist,24200000,8400000,0,32600000,06 Jan 1989,1988,0,11802,6.8,PG,121,53,,,,,,,,"Anne Tyler (book), Frank Galati (screenplay), Lawrence Kasdan (screenplay)","William Hurt, Kathleen Turner, Geena Davis, Amy Wright",English,tt0094606,USA,Won 1 Oscar. Another 3 wins & 10 nominations.,"Drama, Romance"
An Education,8800000,3200000,533000,12600000,05 Feb 2010,2009,0,106867,7.3,PG-13,100,85,,,,,,,,"Lynn Barber (memoir), Nick Hornby (screenplay)","Carey Mulligan, Olivia Williams, Alfred Molina, Cara Seymour","English, French",tt1174732,"UK, USA",Nominated for 3 Oscars. Another 34 wins & 85 nominations.,Drama
The Wolf of Wall Street,81700000,32800000,2300000,116900000,25 Dec 2013,2013,0,660792,8.2,R,180,75,,,,,,,,"Terence Winter (screenplay), Jordan Belfort (book)","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","English, French",tt0993846,USA,Nominated for 5 Oscars. Another 33 wins & 143 nominations.,"Biography, Comedy, Crime"
Million Dollar Baby,8500000,56400000,35600000,100500000,28 Jan 2005,2004,1,440683,8.1,PG-13,132,86,,,,,,,,"Paul Haggis (screenplay), F.X. Toole (stories)","Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel","English, Irish",tt0405159,USA,Won 4 Oscars. Another 59 wins & 69 nominations.,"Drama, Sport"
Out of Africa,55600000,16200000,15300000,87100000,20 Dec 1985,1985,1,48310,7.2,PG,161,N/A,,,,,,,,"Karen Blixen (based upon: ""Out of Africa"" and other writings), Judith Thurman (book), Errol Trzebinski (book), Kurt Luedtke (screenplay)","Meryl Streep, Robert Redford, Klaus Maria Brandauer, Michael Kitchen","English, Swahili",tt0089755,USA,Won 7 Oscars. Another 22 wins & 28 nominations.,"Biography, Drama, Romance"
The Green Mile,120600000,14400000,1700000,136800000,10 Dec 1999,1999,0,702081,8.5,R,189,61,,,,,,,,"Stephen King (novel), Frank Darabont (screenplay)","Tom Hanks, David Morse, Michael Clarke Duncan, Bonnie Hunt","English, French",tt0120689,USA,Nominated for 4 Oscars. Another 13 wins & 28 nominations.,"Crime, Drama, Fantasy"
The Silence of the Lambs,130700000,0,0,130700000,14 Feb 1991,1991,1,800970,8.6,R,118,84,,,,,,,,"Thomas Harris (novel), Ted Tally (screenplay)","Jodie Foster, Lawrence A. Bonney, Kasi Lemmons, Lawrence T. Wrentz",English,tt0102926,USA,Won 5 Oscars. Another 48 wins & 33 nominations.,"Crime, Drama, Thriller"
The Color Purple,46400000,31500000,16200000,94200000,07 Feb 1986,1985,0,57167,7.8,PG-13,154,N/A,,,,,,,,"Alice Walker (novel), Menno Meyjes (screenplay)","Danny Glover, Whoopi Goldberg, Margaret Avery, Oprah Winfrey",English,tt0088939,USA,Nominated for 11 Oscars. Another 13 wins & 12 nominations.,Drama
The Help,169600000,97400,10800,169700000,10 Aug 2011,2011,0,292349,8.1,PG-13,146,62,,,,,,,,"Tate Taylor (screenplay), Kathryn Stockett (novel)","Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer",English,tt1454029,"USA, India, United Arab Emirates",Won 1 Oscar. Another 74 wins & 103 nominations.,Drama
Gangs of New York,70100000,6900000,790000,77800000,20 Dec 2002,2002,0,291630,7.5,R,167,72,,,,,,,,"Jay Cocks (story), Jay Cocks (screenplay), Steven Zaillian (screenplay), Kenneth Lonergan (screenplay)","Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent","English, Irish, Chinese, Latin",tt0217505,"USA, Italy",Nominated for 10 Oscars. Another 42 wins & 89 nominations.,"Crime, Drama, History"
The Hours,21900000,17000000,2800000,41700000,14 Feb 2003,2002,0,96908,7.6,PG-13,114,81,,,,,,,,"Michael Cunningham (novel), David Hare (screenplay)","Meryl Streep, Julianne Moore, Nicole Kidman, Ed Harris",English,tt0274558,"USA, UK",Won 1 Oscar. Another 38 wins & 103 nominations.,Drama
12 Years a Slave,39000000,11300000,6300000,56700000,08 Nov 2013,2013,1,378027,8.1,R,134,97,,,,,,,,"John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)","Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",English,tt2024544,"USA, UK",Won 3 Oscars. Another 223 wins & 295 nominations.,"Biography, Drama, History"
The King's Speech,57900000,56300000,21200000,135500000,25 Dec 2010,2010,1,452317,8.1,R,118,88,,,,,,,,David Seidler (screenplay),"Colin Firth, Helena Bonham Carter, Derek Jacobi, Robert Portal",English,tt1504320,"UK, USA, Australia",Won 4 Oscars. Another 95 wins & 182 nominations.,"Biography, Drama"
The Sixth Sense,278400000,11900000,3200000,293500000,06 Aug 1999,1999,0,652018,8.2,PG-13,107,64,,,,,,,,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment, Toni Collette, Olivia Williams","English, Latin, Spanish",tt0167404,USA,Nominated for 6 Oscars. Another 32 wins & 45 nominations.,"Drama, Mystery, Thriller"
The Killing Fields,11700000,16200000,6900000,34700000,01 Feb 1985,1984,0,40318,7.9,R,141,N/A,,,,,,,,Bruce Robinson (screenplay),"Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands","English, French, Khmer, Russian",tt0087553,UK,Won 3 Oscars. Another 24 wins & 22 nominations.,"Drama, History, War"
Bugsy,38900000,8900000,1300000,49100000,20 Dec 1991,1991,0,20429,6.8,R,136,N/A,,,,,,,,"James Toback, Dean Jennings (book)","Warren Beatty, Annette Bening, Harvey Keitel, Ben Kingsley",English,tt0101516,USA,Won 2 Oscars. Another 10 wins & 30 nominations.,"Biography, Crime, Drama"
Tootsie,100800000,51200000,25200000,177200000,17 Dec 1982,1982,0,73364,7.4,PG,116,87,,,,,,,,"Larry Gelbart (screenplay), Murray Schisgal (screenplay), Don McGuire (story), Larry Gelbart (story)","Dustin Hoffman, Jessica Lange, Teri Garr, Dabney Coleman",English,tt0084805,USA,Won 1 Oscar. Another 23 wins & 29 nominations.,"Comedy, Romance"
Born on the Fourth of July,48700000,16900000,4400000,70000000,05 Jan 1990,1989,0,72490,7.2,R,145,75,,,,,,,,"Ron Kovic (book), Oliver Stone (screenplay), Ron Kovic (screenplay)","Tom Cruise, Raymond J. Barry, Caroline Kava, Josh Evans","English, Spanish",tt0096969,USA,Won 2 Oscars. Another 13 wins & 22 nominations.,"Biography, Drama, War"
Milk,20700000,7500000,3700000,31800000,30 Jan 2009,2008,0,128963,7.6,R,128,84,,,,,,,,Dustin Lance Black,"Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna",English,tt1013753,USA,Won 2 Oscars. Another 53 wins & 121 nominations.,"Biography, Drama, History"
Witness,68700000,0,0,68700000,08 Feb 1985,1985,0,62743,7.5,R,112,76,,,,,,,,"William Kelley (story), Pamela Wallace (story), Earl W. Wallace (story), Earl W. Wallace (screenplay), William Kelley (screenplay)","Harrison Ford, Kelly McGillis, Josef Sommer, Lukas Haas","English, German",tt0090329,USA,Won 2 Oscars. Another 10 wins & 26 nominations.,"Crime, Drama, Romance"
Ray,73100000,2000000,252000,75300000,29 Oct 2004,2004,0,102332,7.8,PG-13,152,73,,,,,,,,"Taylor Hackford (story), James L. White (story), James L. White (screenplay)","Jamie Foxx, Kerry Washington, Regina King, Clifton Powell",English,tt0350258,USA,Won 2 Oscars. Another 48 wins & 47 nominations.,"Biography, Drama, Music"
Up in the Air,73500000,9500000,812000,83800000,23 Dec 2009,2009,0,258673,7.5,R,109,83,,,,,,,,"Walter Kirn (novel), Jason Reitman (screenplay), Sheldon Turner (screenplay)","George Clooney, Vera Farmiga, Anna Kendrick, Jason Bateman",English,tt1193138,USA,Nominated for 6 Oscars. Another 74 wins & 136 nominations.,"Drama, Romance"
Silver Linings Playbook,35700000,71400000,24900000,132100000,25 Dec 2012,2012,0,493310,7.8,R,122,81,,,,,,,,"David O. Russell (screenplay), Matthew Quick (novel)","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",English,tt1045658,USA,Won 1 Oscar. Another 84 wins & 139 nominations.,"Comedy, Drama, Romance"
A Serious Man,9200000,0,0,9200000,06 Nov 2009,2009,0,95168,7,R,106,79,,,,,,,,"Joel Coen, Ethan Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick","English, Yiddish, Hebrew",tt1019452,"USA, UK, France",Nominated for 2 Oscars. Another 16 wins & 60 nominations.,"Comedy, Drama"
A Beautiful Mind,113700000,41000000,16000000,170700000,04 Jan 2002,2001,1,548689,8.2,PG-13,135,72,,,,,,,,"Akiva Goldsman, Sylvia Nasar (book)","Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer",English,tt0268978,USA,Won 4 Oscars. Another 29 wins & 61 nominations.,"Biography, Drama"
Slumdog Millionaire,44700000,53600000,43000000,141300000,25 Dec 2008,2008,1,596954,8,R,120,86,,,,,,,,"Simon Beaufoy (screenplay), Vikas Swarup (novel)","Dev Patel, Saurabh Shukla, Anil Kapoor, Rajendranath Zutshi","English, Hindi, French",tt1010048,"UK, USA",Won 8 Oscars. Another 139 wins & 105 nominations.,"Drama, Romance"
Rain Man,97000000,60800000,15100000,172800000,16 Dec 1988,1988,1,365025,8,R,133,65,,,,,,,,"Barry Morrow (story), Ronald Bass (screenplay), Barry Morrow (screenplay)","Dustin Hoffman, Tom Cruise, Valeria Golino, Gerald R. Molen","English, Italian",tt0095953,USA,Won 4 Oscars. Another 21 wins & 21 nominations.,Drama
Gravity,256400000,14100000,3600000,274100000,04 Oct 2013,2013,0,532303,7.9,PG-13,91,96,,,,,,,,"Alfonso Cuarón, Jonás Cuarón","Sandra Bullock, George Clooney, Ed Harris, Orto Ignatiussen","English, Greenlandic",tt1454468,"USA, UK",Won 7 Oscars. Another 201 wins & 159 nominations.,"Sci-Fi, Thriller"
Capote,15400000,10100000,3300000,28800000,03 Feb 2006,2005,0,93155,7.4,R,114,88,,,,,,,,"Dan Futterman (screenplay), Gerald Clarke (book)","Allie Mickelson, Kelci Stephenson, Philip Seymour Hoffman, Craig Archibald",English,tt0379725,"Canada, USA",Won 1 Oscar. Another 56 wins & 73 nominations.,"Biography, Crime, Drama"
Fargo,24100000,183000,346000,24600000,05 Apr 1996,1996,0,412212,8.2,R,98,85,,,,,,,,"Ethan Coen, Joel Coen","William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd",English,tt0116282,"USA, UK",Won 2 Oscars. Another 69 wins & 51 nominations.,"Crime, Drama, Thriller"
Moneyball,75500000,72600,0,75600000,23 Sep 2011,2011,0,268380,7.6,PG-13,133,87,,,,,,,,"Steven Zaillian (screenplay), Aaron Sorkin (screenplay), Stan Chervin (story), Michael Lewis (book)","Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright",English,tt1210166,USA,Nominated for 6 Oscars. Another 27 wins & 70 nominations.,"Biography, Drama, Sport"
