Title,PreNomination,PostNomination,PostAwards,Total,PostGreaterThanPre,Released,Year,Win,imdbVotes,imdbRating,Rated,Runtime,Metascore
Babel,23800000,10000000,497000,34300000,0,10 Nov 2006,2006,0,230802,7.5,R,143,69
The Departed,121800000,10000000,579000,132400000,0,06 Oct 2006,2006,1,793172,8.5,R,151,86
Capote,15400000,10100000,3300000,28800000,0,03 Feb 2006,2005,0,93155,7.4,R,114,88
Letters from Iwo Jima,2600000,10200000,921000,13800000,0,02 Feb 2007,2006,0,126999,7.9,R,141,89
JFK,58100000,10300000,2000000,70400000,0,20 Dec 1991,1991,0,108216,8,R,189,72
Awakenings,36800000,11000000,4300000,52100000,0,11 Jan 1991,1990,0,85841,7.8,PG-13,121,74
The Pianist,9200000,11000000,12400000,32600000,0,28 Mar 2003,2002,0,450820,8.5,R,150,85
Birdman,26600000,11200000,4600000,42300000,0,09 Sep 1967,1967,1,415,7,TV-G,30,N/A
12 Years a Slave,39000000,11300000,6300000,56700000,0,08 Nov 2013,2013,1,378027,8.1,R,134,97
Broadcast News,36700000,11300000,3300000,51200000,0,25 Dec 1987,1987,0,20069,7.2,R,133,84
A Passage to India,13500000,11400000,2300000,27200000,0,01 Feb 1985,1984,0,12239,7.4,PG,164,N/A
The Sixth Sense,278400000,11900000,3200000,293500000,0,06 Aug 1999,1999,0,652018,8.2,PG-13,107,64
The Prince of Tides,59300000,12000000,3500000,74800000,0,25 Dec 1991,1991,0,11975,6.6,R,132,N/A
Philomena,22500000,12100000,3100000,37700000,0,27 Nov 2013,2013,0,68476,7.6,PG-13,98,76
The Verdict,39700000,12200000,2100000,54000000,0,17 Dec 1982,1982,0,24381,7.8,R,129,N/A
Avatar,598500000,122200000,29200000,749800000,0,18 Dec 2009,2009,0,826521,7.9,PG-13,162,83
The Blind Side,238100000,12300000,5500000,256000000,0,20 Nov 2009,2009,0,204311,7.7,PG-13,129,53
Beasts of the Southern Wild,11300000,1300000,224000,12800000,1,05 Jul 2012,2012,0,66982,7.3,PG-13,93,86
Hugo,56000000,13400000,4500000,73900000,0,23 Nov 2011,2011,0,230279,7.6,PG,126,83
The Last Emperor,11900000,13500000,18600000,44000000,1,15 Apr 1988,1987,1,65382,7.8,PG-13,163,76
The Lord of the Rings: The Two Towers,321100000,13700000,5000000,339800000,0,18 Dec 2002,2002,0,998747,8.7,PG-13,179,88
Gravity,256400000,14100000,3600000,274100000,0,04 Oct 2013,2013,0,532303,7.9,PG-13,91,96
Howards End,8700000,14200000,3000000,26000000,0,26 Feb 1993,1992,0,20399,7.5,PG,140,87
A Few Good Men,120100000,14300000,7000000,141300000,1,11 Dec 1992,1992,0,171882,7.6,R,138,62
The Green Mile,120600000,14400000,1700000,136800000,1,10 Dec 1999,1999,0,702081,8.5,R,189,61
In the Name of the Father,6500000,14400000,4200000,25100000,0,25 Feb 1994,1993,0,99021,8.1,R,133,84
Sense and Sensibility,24600000,14500000,4000000,43200000,0,26 Jan 1996,1995,0,73082,7.7,PG,136,84
In the Bedroom,19500000,14700000,1700000,35900000,0,08 Feb 2002,2001,0,31274,7.5,R,130,86
The Reader,8100000,14900000,11200000,34200000,0,30 Jan 2009,2008,0,178455,7.6,R,124,58
The Social Network,95400000,1500000,44800,97000000,0,01 Oct 2010,2010,0,436554,7.8,PG-13,120,95
Mississippi Burning,18600000,15300000,713000,34600000,0,27 Jan 1989,1988,0,62008,7.8,R,128,65
