Q1,NumTheaters,ProductionBudget,Q2,Nom,G,Title,Oscar,PG13,NC17,ReleaseDate,ReleaseLength,R,PG,Q4,Win,Rating,Unrated,Runtime,Q3,TotalBoxOffice
1,2479,20000000,0,0,0,The Crazies,0,0,0,"February 26, 2010",84,1,0,0,0,R,0,101,0,39123589
0,3434,70000000,0,0,0,Yes Man,0,1,0,"December 19, 2008",105,0,0,1,0,PG-13,0,104,0,97690976
1,2704,40000000,0,0,0,The Mechanic,0,0,0,"January 28, 2011",70,1,0,0,0,R,0,100,0,29121498
0,2335,20000000,1,0,0,Lockout,0,1,0,"April 13, 2012",42,0,0,0,0,PG-13,0,110,0,14326864
0,2304,40000000,0,0,0,Fantastic Mr. Fox,0,0,0,"November 13, 2009",147,0,1,1,0,PG,0,87,0,21002919
0,2553,35000000,0,0,1,The Country Bears,0,0,0,"July 26, 2002",105,0,0,0,0,G,0,88,1,16990825
1,3749,250000000,0,0,0,John Carter,0,1,0,"March 9, 2012",112,0,0,0,0,PG-13,0,132,0,73078100
0,897,3000000,1,0,0,Letters to God,0,0,0,"April 9, 2010",84,0,1,0,0,PG,0,110,0,2848578
0,3006,55000000,0,0,0,3:10 to Yuma (2007),0,0,0,"September 7, 2007",70,1,0,0,0,R,0,117,1,53606916
1,1939,17000000,0,0,0,Brooklyn's Finest,0,0,0,"March 5, 2010",77,1,0,0,0,R,0,133,0,27163593
0,66,13000000,0,0,0,Attack the Block,0,0,0,"July 29, 2011",63,1,0,0,0,R,0,88,1,1024175
1,739,10000000,0,0,0,Danny Collins,0,0,0,"March 20, 2015",77,1,0,0,0,R,0,106,0,5637066
0,4,5500000,0,0,0,Salvation Boulevard,0,0,0,"July 15, 2011",42,1,0,0,0,R,0,96,1,28468
0,54,10000000,0,0,0,Spider,0,0,0,"December 20, 2002",224,1,0,1,0,R,0,98,0,1642483
0,4207,225000000,1,0,0,Man of Steel,0,1,0,"June 14, 2013",98,0,0,0,0,PG-13,0,143,0,291045518
0,3648,150000000,0,0,0,I Am Legend,0,1,0,"December 14, 2007",119,0,0,1,0,PG-13,0,100,0,256393010
