Title,Win,Oscar,Prod Budget,Gross Domestic,Release Date
Saw,0,0,1200000,55185045,"October 29, 2004"
Come Away Home,0,0,1200000,72810,"May 6, 2005"
Journey from the Fall,0,0,1300000,641039,"March 23, 2007"
Cabin Fever,0,0,1500000,21158188,"September 12, 2003"
The Lords of Salem,0,0,1500000,1165882,"April 19, 2013"
Amigo,0,0,1500000,184705,"August 19, 2011"
The Believer,0,0,1500000,416925,"May 17, 2002"
The To-Do List,0,0,1500000,3491669,"July 26, 2013"
Forty Shades of Blue,0,0,1500000,75828,"September 30, 2005"
Book of Mormon Movie,0,0,1500000,1680020,"September 12, 2003"
The Squid and the Whale,0,0,1500000,7372734,"October 5, 2005"
Insidious,0,0,1500000,54009150,"April 1, 2011"
N'Secure,0,0,1600000,2595644,"October 15, 2010"
Bubble,0,0,1600000,145626,"January 27, 2006"
In the Bedroom,0,1,1700000,35930604,"November 23, 2001"
The Last Exorcism,0,0,1800000,41034350,"August 27, 2010"
Crazy as Hell,0,0,1800000,21679,"September 27, 2002"
Stolen Summer,0,0,1800000,134736,"March 22, 2002"
I Spit on Your Grave,0,0,2000000,93051,"October 8, 2010"
It's All Gone Pete Tong,0,0,2000000,120620,"April 15, 2005"
God's Not Dead,0,0,2000000,60755732,"March 21, 2014"
Paradise Now,0,0,2000000,1457843,"October 28, 2005"
Spring Forward,0,0,2000000,117471,"December 8, 2000"
Meek's Cutoff,0,0,2000000,977772,"April 8, 2011"
Filly Brown,0,0,2000000,2850357,"April 19, 2013"
Higher Ground,0,0,2000000,841733,"August 26, 2011"
Zyzzyx Road,0,0,2000000,30,"February 25, 2006"
Full Frontal,0,0,2000000,2512846,"August 2, 2002"
The Hebrew Hammer,0,0,2000000,82157,"December 19, 2003"
Inside Deep Throat,0,0,2000000,691880,"February 11, 2005"
The Virginity Hit,0,0,2000000,636706,"September 24, 2010"
Boys Don't Cry,0,0,2000000,11540607,"October 8, 1999"
Hangman's Curse,0,0,2000000,168406,"September 12, 2003"
The Lives of Others,0,0,2000000,11286112,"February 9, 2007"
Death of a President,0,0,2000000,519086,"October 27, 2006"
Thirteen,0,0,2000000,4601043,"August 20, 2003"
Hit and Run,0,0,2000000,13749300,"August 22, 2012"
Inside Job,0,0,2000000,4312735,"October 8, 2010"
Courageous,0,0,2000000,34522221,"September 30, 2011"
Winter's Bone,0,1,2000000,6531503,"June 11, 2010"
The Last Sin Eater,0,0,2200000,388390,"February 9, 2007"
Redemption Road,0,0,2300000,29384,"August 26, 2011"
A Haunted House,0,0,2500000,40041683,"January 11, 2013"
Super,0,0,2500000,327716,"April 1, 2011"
Vitus,0,0,2500000,187480,"June 29, 2007"
"Happy, Texas",0,0,2500000,1955933,"October 1, 1999"
Garden State,0,0,2500000,26782316,"July 28, 2004"
Jesus' Son,0,0,2500000,1302067,"June 16, 2000"
The Mother,0,0,2500000,1063163,"May 28, 2004"
Religulous,0,0,2500000,13011160,"October 1, 2008"
Before Sunset,0,0,2700000,5820649,"July 2, 2004"
The Prophet's Son,0,0,2750000,16983,"September 29, 2012"
Hustle and Flow,0,0,2800000,22202809,"July 22, 2005"
Freakonomics,0,0,2900000,101270,"October 1, 2010"
Every Day,0,0,3000000,46029,"January 14, 2011"
Paranormal Activity 2,0,0,3000000,84752907,"October 22, 2010"
The Purge,0,0,3000000,64473115,"June 7, 2013"
Christmas at Maxwell's,0,0,3000000,12781,"December 1, 2006"
Love's Abiding Joy,0,0,3000000,252726,"October 6, 2006"
Waiting...,0,0,3000000,16124543,"October 7, 2005"
The Eclipse,0,0,3000000,133411,"March 26, 2010"
Committed,0,0,3000000,40361,"April 28, 2000"
Fish Tank,0,0,3000000,374675,"January 15, 2010"
Don Jon,0,0,3000000,24477704,"September 27, 2013"
Hey Arnold! The Movie,0,0,3000000,13728902,"June 28, 2002"
The Deep End,0,0,3000000,8823109,"August 10, 2001"
Letters to God,0,0,3000000,2848578,"April 9, 2010"
Sinister,0,0,3000000,48086903,"October 12, 2012"
Dirty,0,0,3000000,274245,"January 20, 2006"
Cape of Good Hope,0,0,3000000,26904,"November 11, 2005"
Chain Letter,0,0,3000000,138788,"October 1, 2010"
Whipped,0,0,3000000,4159986,"September 1, 2000"
Super Troopers,0,0,3000000,18492362,"February 15, 2002"
Christmas in the Clouds,0,0,3000000,279225,"November 4, 2005"
Phat Girlz,0,0,3000000,7061128,"April 7, 2006"
Please Give,0,0,3000000,4033574,"April 30, 2010"
Beginners,0,0,3200000,5790894,"June 3, 2011"
Whiplash,0,1,3300000,13092000,"October 10, 2014"
The Lazarus Effect,0,0,3300000,25801047,"February 27, 2015"
Bella,0,0,3300000,8070537,"October 26, 2007"
3 Strikes,0,0,3400000,9832166,"March 3, 2000"
Defendor,0,0,3500000,44462,"February 19, 2010"
The Taxman,0,0,3500000,9871,"September 17, 1999"
Jawbreaker,0,0,3500000,3117085,"February 19, 1999"
Whale Rider,0,0,3500000,20779666,"June 6, 2003"
Dark Skies,0,0,3500000,17418667,"February 22, 2013"
Margin Call,0,0,3500000,5354039,"October 21, 2011"
Tamara,0,0,3500000,206871,"February 3, 2006"
Lost in Translation,0,1,4000000,44585453,"September 12, 2003"
Empire,0,0,4000000,17600423,"December 6, 2002"
The Gospel,0,0,4000000,15778152,"October 7, 2005"
A Haunted House 2,0,0,4000000,17329486,"April 18, 2014"
The Boy Next Door,0,0,4000000,35423380,"January 23, 2015"
Trust (2011),0,0,4000000,120016,"April 1, 2011"
MirrorMask,0,0,4000000,866999,"September 30, 2005"
The Velocity of Gary,0,0,4000000,2143,"April 30, 1999"
Bowling for Columbine,0,0,4000000,21576018,"October 11, 2002"
Saw II,0,0,4000000,87039965,"October 28, 2005"
Monster's Ball,0,0,4000000,31273922,"December 26, 2001"
Boyhood,0,1,4000000,25352281,"July 11, 2014"
The Kids Are All Right,0,0,4000000,20811365,"July 9, 2010"
The Rules of Attraction,0,0,4000000,6532619,"October 11, 2002"
The Double Hour,0,0,4300000,1514942,"April 15, 2011"
Art of Submission,0,0,4500000,9004,"September 21, 2012"
Life During Wartime,0,0,4500000,281447,"July 23, 2010"
Mozart's Sister,0,0,4500000,707885,"August 19, 2011"
Hostel,0,0,4800000,47326473,"January 6, 2006"
Time Code,0,0,5000000,1057750,"April 28, 2000"
Not Easily Broken,0,0,5000000,10572742,"January 9, 2009"
Waiting for Forever,0,0,5000000,25517,"February 4, 2011"
Believe,0,0,5000000,6206566,"December 25, 2013"
Take Shelter,0,0,5000000,1730296,"September 30, 2011"
Billy Elliot,0,0,5000000,21995263,"October 13, 2000"
25th Hour,0,0,5000000,13084595,"December 19, 2002"
The OH in Ohio,0,0,5000000,418689,"July 14, 2006"
Paranormal Activity 4,0,0,5000000,53900335,"October 19, 2012"
Paranormal Activity 3,0,0,5000000,104028807,"October 21, 2011"
The Gift (2015),0,0,5000000,43787265,"August 7, 2015"
Dysfunctional Friends,0,0,5000000,13546,"February 3, 2012"
Twelve,0,0,5000000,183920,"August 6, 2010"
Insidious Chapter 2,0,0,5000000,83586447,"September 13, 2013"
Apollo 18,0,0,5000000,17687709,"September 2, 2011"
Jem and the Holograms,0,0,5000000,2184640,"October 23, 2015"
Bad Education,0,0,5000000,5211842,"November 19, 2004"
Ouija,0,0,5000000,50856010,"October 24, 2014"
Rabbit Hole,0,0,5000000,2229058,"December 17, 2010"
Spring Breakers,0,0,5000000,14124284,"March 15, 2013"
Intermission,0,0,5000000,896993,"March 19, 2004"
The Green Inferno,0,0,5000000,7192291,"September 25, 2015"
Oculus,0,0,5000000,27695246,"April 11, 2014"
Fascination,0,0,5000000,16670,"January 28, 2005"
Still Alice,0,0,5000000,18754371,"January 16, 2015"
My Big Fat Greek Wedding,0,0,5000000,241438208,"April 19, 2002"
Dallas Buyers Club,0,1,5000000,27298285,"November 1, 2013"
Saved!,0,0,5000000,8940582,"May 28, 2004"
Clerks II,0,0,5000000,24148068,"July 21, 2006"
Our Idiot Brother,0,0,5000000,24816118,"August 26, 2011"
Moms' Night Out,0,0,5000000,10429707,"May 9, 2014"
Everything Must Go,0,0,5000000,2711643,"May 13, 2011"
Bats,0,0,5250000,10155690,"October 22, 1999"
Salvation Boulevard,0,0,5500000,28468,"July 15, 2011"
In a Better World,0,0,5500000,1008098,"April 1, 2011"
Crossover,0,0,5800000,7009668,"September 1, 2006"
City Island,0,0,6000000,6671036,"March 19, 2010"
Crush,0,0,6000000,1084935,"April 5, 2002"
Hell's Kitchen,0,0,6000000,11710,"December 3, 1999"
My Dog Skip,0,0,6000000,34134641,"January 14, 2000"
Veronica Mars,0,0,6000000,3322127,"March 14, 2014"
The Greatest (2010),0,0,6000000,114766,"April 2, 2010"
The Wood,0,0,6000000,25059640,"July 16, 1999"
Simply Irresistible,0,0,6000000,4398989,"February 5, 1999"
The Last Mistress,0,0,6000000,785671,"June 27, 2008"
Mini's First Time,0,0,6000000,49034,"July 14, 2006"
"Surfer, Dude",0,0,6000000,52132,"September 5, 2008"
The Guard,0,0,6000000,5360274,"July 29, 2011"
Donnie Darko,0,0,6000000,517375,"October 26, 2001"
Grind,0,0,6000000,5123696,"August 15, 2003"
Rocket Science,0,0,6000000,714943,"August 10, 2007"
The Wrestler,0,0,6000000,26238243,"December 17, 2008"
Fahrenheit 9/11,0,0,6000000,119194771,"June 23, 2004"
The Brothers,0,0,6000000,27457409,"March 23, 2001"
The Words,0,0,6000000,11494838,"September 7, 2012"
Mickey,0,0,6000000,294758,"April 30, 2004"
200 Cigarettes,0,0,6000000,6852450,"February 26, 1999"
The Boondock Saints,0,0,6000000,30471,"January 21, 2000"
Movie 43,0,0,6000000,8840453,"January 25, 2013"
Young Adam,0,0,6400000,767373,"April 16, 2004"
Annabelle,0,0,6500000,84273813,"October 3, 2014"
Crash,0,0,6500000,54580300,"May 6, 2005"
Narc,0,0,6500000,10465659,"December 20, 2002"
The Messenger,0,0,6500000,1109660,"November 13, 2009"
Friends with Money,0,0,6500000,13368437,"April 7, 2006"
Thank You for Smoking,0,0,6500000,24793509,"March 17, 2006"
Jumping the Broom,0,0,6600000,37295394,"May 6, 2011"
Incendies (U.S. only),0,0,6800000,2071334,"April 22, 2011"
The Devil's Rejects,0,0,7000000,17044981,"July 22, 2005"
A Single Man,0,0,7000000,9176000,"December 11, 2009"
Kingdom Come,0,0,7000000,23249649,"April 11, 2001"
Hesher,0,0,7000000,382946,"May 13, 2011"
Alone Yet Not Alone,0,0,7000000,887851,"September 27, 2013"
Crazy Heart,0,0,7000000,39464306,"December 16, 2009"
Boiler Room,0,0,7000000,16970581,"February 18, 2000"
Somewhere,0,0,7000000,1785645,"December 22, 2010"
Outside Providence,0,0,7000000,7302522,"September 1, 1999"
Magic Mike,0,0,7000000,113721571,"June 29, 2012"
Mother and Child,0,0,7000000,1110509,"May 7, 2010"
The Big Kahuna,0,0,7000000,3165544,"April 28, 2000"
